osmid,latitude,longitude
1667167737,-21.1633914,-47.8376767
1667167738,-21.1615681,-47.8384827
1667167739,-21.1655214,-47.8357956
1667167740,-21.161195,-47.840587
1667167743,-21.1622849,-47.8391299
1667167744,-21.1590707,-47.837144
1667167745,-21.1669304,-47.8349061
1667167746,-21.1581798,-47.8383261
1667167747,-21.1644887,-47.8362204
1667167748,-21.1664758,-47.834517
1667167749,-21.1664022,-47.8335367
1667167750,-21.1583754,-47.8380671
1667167751,-21.1667116,-47.8331249
1667167752,-21.1659986,-47.8341301
1667169909,-21.1655188,-47.8395966
1667169912,-21.1652115,-47.8368623
1667169929,-21.1682121,-47.8359133
1667169931,-21.1612391,-47.8421659
1667169933,-21.1626215,-47.8418655
1667169934,-21.169873,-47.8336741
1667169936,-21.1648087,-47.8389512
1667169942,-21.1679766,-47.8345618
1667169946,-21.164427,-47.8410427
1667169949,-21.165855,-47.8359774
1667169951,-21.1685819,-47.8338173
1667169956,-21.1666351,-47.8381276
1667169958,-21.1627817,-47.8431607
1667169959,-21.1637202,-47.8404073
1667169961,-21.1667074,-47.8364219
1667169962,-21.1619725,-47.8426434
1667169964,-21.1686851,-47.8351667
1667169967,-21.1692518,-47.8344202
1667169968,-21.1675036,-47.834154
1667172392,-21.1524027,-47.8349802
1667172393,-21.1486053,-47.8359369
1667172394,-21.1526505,-47.8337905
1667172399,-21.1506832,-47.8332814
1667172403,-21.1510883,-47.833663
1667172405,-21.1532207,-47.8363775
1667172407,-21.1558558,-47.8426989
1667172412,-21.1561384,-47.8437584
1667172416,-21.1527013,-47.8354286
1667172419,-21.1536438,-47.8373773
1667172420,-21.1590902,-47.8401387
1667172423,-21.1529867,-47.8358947
1667172424,-21.1562835,-47.8448689
1667172426,-21.1562175,-47.8460317
1667172428,-21.1539171,-47.8448743
1667172432,-21.1560239,-47.8432295
1667172440,-21.15954,-47.8395482
1667172442,-21.1502217,-47.8362788
1667172444,-21.1643303,-47.8444116
1667172446,-21.1540445,-47.8447042
1667172447,-21.1562275,-47.8442693
1667172448,-21.1481501,-47.8368913
1667172449,-21.1534386,-47.83688
1667172458,-21.1601248,-47.8410687
1667172460,-21.1539341,-47.8380623
1667172462,-21.148181,-47.8363849
1667172464,-21.1515928,-47.8341332
1667172465,-21.1520088,-47.8345464
1667172467,-21.1497246,-47.8348964
1667176355,-21.1513602,-47.8388064
1667176357,-21.1533202,-47.8400338
1667176360,-21.154323,-47.8390092
1667176362,-21.1537177,-47.8409944
1667176366,-21.1527146,-47.8389281
1667176368,-21.1539278,-47.8414896
1667176377,-21.1514192,-47.8373486
1667176380,-21.1548994,-47.8402871
1667176382,-21.1547725,-47.8405357
1667176383,-21.1530117,-47.8393458
1667176384,-21.1535224,-47.8405231
1667176385,-21.1523977,-47.8385335
1667176387,-21.1541162,-47.8385338
1667176389,-21.1545265,-47.8394853
1667176391,-21.1547491,-47.8399545
1667176394,-21.1520801,-47.8381394
1667176397,-21.151674,-47.8391942
1667176401,-21.152872,-47.8391174
1667176402,-21.1519949,-47.8395908
1667176403,-21.1525462,-47.8387185
1667176404,-21.153151,-47.8395726
1667176414,-21.1505395,-47.836701
1667181728,-21.1501669,-47.8378276
1667181733,-21.151755,-47.8377527
1667181735,-21.1503324,-47.8390238
1667181737,-21.1496724,-47.8383856
1667181739,-21.1510005,-47.8370176
1667181744,-21.1499618,-47.8386655
1667181747,-21.1507055,-47.8393644
1667182649,-21.1484185,-47.83712
1667182651,-21.1482199,-47.8366449
1667182660,-21.148759,-47.836403
1667182663,-21.1488992,-47.8375686
1667182664,-21.1500841,-47.8358252
1667182665,-21.1509854,-47.8354974
1667182666,-21.149909,-47.835371
